대여일자,대여시간,대여소번호,대여소명,이용건수,월,일,요일,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),요일_0,요일_1,요일_2,요일_3,요일_4,요일_5,요일_6
2022-01-03,4,502,502. 뚝섬유원지역 1번출구 앞,1,1,3,0,108,서울,2022-01-03 04:00:00,-7.2,0.0,1.3,61,1,0,0,0,0,0,0
2022-01-03,5,502,502. 뚝섬유원지역 1번출구 앞,1,1,3,0,108,서울,2022-01-03 05:00:00,-7.4,0.0,0.3,59,1,0,0,0,0,0,0
2022-01-03,7,502,502. 뚝섬유원지역 1번출구 앞,3,1,3,0,108,서울,2022-01-03 07:00:00,-7.7,0.0,2.0,54,1,0,0,0,0,0,0
2022-01-03,8,502,502. 뚝섬유원지역 1번출구 앞,8,1,3,0,108,서울,2022-01-03 08:00:00,-7.6,0.0,1.6,55,1,0,0,0,0,0,0
2022-01-03,9,502,502. 뚝섬유원지역 1번출구 앞,4,1,3,0,108,서울,2022-01-03 09:00:00,-6.9,0.0,1.7,55,1,0,0,0,0,0,0
2022-01-03,10,502,502. 뚝섬유원지역 1번출구 앞,1,1,3,0,108,서울,2022-01-03 10:00:00,-4.0,0.0,1.2,55,1,0,0,0,0,0,0
2022-01-03,11,502,502. 뚝섬유원지역 1번출구 앞,1,1,3,0,108,서울,2022-01-03 11:00:00,-1.4,0.0,1.5,44,1,0,0,0,0,0,0
2022-01-03,12,502,502. 뚝섬유원지역 1번출구 앞,1,1,3,0,108,서울,2022-01-03 12:00:00,0.9,0.0,2.1,36,1,0,0,0,0,0,0
2022-01-03,13,502,502. 뚝섬유원지역 1번출구 앞,6,1,3,0,108,서울,2022-01-03 13:00:00,1.7,0.0,2.8,43,1,0,0,0,0,0,0
2022-01-03,14,502,502. 뚝섬유원지역 1번출구 앞,6,1,3,0,108,서울,2022-01-03 14:00:00,2.0,0.0,2.4,43,1,0,0,0,0,0,0
2022-01-03,15,502,502. 뚝섬유원지역 1번출구 앞,6,1,3,0,108,서울,2022-01-03 15:00:00,2.2,0.0,2.2,48,1,0,0,0,0,0,0
2022-01-03,16,502,502. 뚝섬유원지역 1번출구 앞,8,1,3,0,108,서울,2022-01-03 16:00:00,2.3,0.0,2.4,49,1,0,0,0,0,0,0
2022-01-03,17,502,502. 뚝섬유원지역 1번출구 앞,14,1,3,0,108,서울,2022-01-03 17:00:00,1.6,0.0,3.0,56,1,0,0,0,0,0,0
2022-01-03,18,502,502. 뚝섬유원지역 1번출구 앞,14,1,3,0,108,서울,2022-01-03 18:00:00,1.3,0.0,1.9,58,1,0,0,0,0,0,0
2022-01-03,19,502,502. 뚝섬유원지역 1번출구 앞,8,1,3,0,108,서울,2022-01-03 19:00:00,1.3,0.0,2.6,65,1,0,0,0,0,0,0
2022-01-03,20,502,502. 뚝섬유원지역 1번출구 앞,6,1,3,0,108,서울,2022-01-03 20:00:00,1.2,0.0,1.8,68,1,0,0,0,0,0,0
2022-01-03,21,502,502. 뚝섬유원지역 1번출구 앞,2,1,3,0,108,서울,2022-01-03 21:00:00,1.1,0.0,2.8,74,1,0,0,0,0,0,0
2022-01-03,22,502,502. 뚝섬유원지역 1번출구 앞,6,1,3,0,108,서울,2022-01-03 22:00:00,0.9,0.0,1.5,75,1,0,0,0,0,0,0
2022-01-03,23,502,502. 뚝섬유원지역 1번출구 앞,1,1,3,0,108,서울,2022-01-03 23:00:00,0.6,0.0,1.3,75,1,0,0,0,0,0,0
2022-01-04,1,502,502. 뚝섬유원지역 1번출구 앞,1,1,4,1,108,서울,2022-01-04 01:00:00,0.7,0.0,1.3,81,0,1,0,0,0,0,0
2022-01-04,4,502,502. 뚝섬유원지역 1번출구 앞,1,1,4,1,108,서울,2022-01-04 04:00:00,-2.2,0.0,2.5,76,0,1,0,0,0,0,0
2022-01-04,6,502,502. 뚝섬유원지역 1번출구 앞,2,1,4,1,108,서울,2022-01-04 06:00:00,-3.6,0.0,2.6,73,0,1,0,0,0,0,0
2022-01-04,7,502,502. 뚝섬유원지역 1번출구 앞,3,1,4,1,108,서울,2022-01-04 07:00:00,-4.0,0.0,2.5,76,0,1,0,0,0,0,0
2022-01-04,8,502,502. 뚝섬유원지역 1번출구 앞,11,1,4,1,108,서울,2022-01-04 08:00:00,-4.6,0.0,1.9,75,0,1,0,0,0,0,0
2022-01-04,9,502,502. 뚝섬유원지역 1번출구 앞,6,1,4,1,108,서울,2022-01-04 09:00:00,-4.3,0.0,3.8,73,0,1,0,0,0,0,0
2022-01-04,10,502,502. 뚝섬유원지역 1번출구 앞,5,1,4,1,108,서울,2022-01-04 10:00:00,-3.5,0.0,2.8,66,0,1,0,0,0,0,0
2022-01-04,11,502,502. 뚝섬유원지역 1번출구 앞,2,1,4,1,108,서울,2022-01-04 11:00:00,-1.9,0.0,3.2,55,0,1,0,0,0,0,0
2022-01-04,12,502,502. 뚝섬유원지역 1번출구 앞,1,1,4,1,108,서울,2022-01-04 12:00:00,-0.6,0.0,2.5,45,0,1,0,0,0,0,0
